1900 1900 1900 1900 1900 1 1
1900 1900 1 1900 1900 1900 1
1900 1900 1 1900 1 1900 1
1900 1900 1 1900 1900 1 1
1900 1900 1 1 1 1 1
2000 2000 10.97 2000 2000 2000 2000
2000 1 2000 1 2000 1 2000
2000 2000 2000 2000 2000 1 1
2000 2000 1 2000 2000 2000 1
2000 2000 1 2000 1 2000 1
2000 2000 1 2000 2000 1 1
2000 2000 1 1 1 1 1
2100 2100 11.04 2100 2100 2100 2100
2100 1 2100 1 2100 1 2100
2100 2100 2100 2100 2100 1 1
2100 2100 1 2100 2100 2100 1
2100 2100 1 2100 1 2100 1
2100 2100 1 2100 2100 1 1
2100 2100 1 1 1 1 1
2200 2200 11.10 2200 2200 2200 2200
2200 1 2200 1 2200 1 2200
2200 2200 2200 2200 2200 1 1
2200 2200 1 2200 2200 2200 1
2200 2200 1 2200 1 2200 1
2200 2200 1 2200 2200 1 1
2200 2200 1 1 1 1 1
2300 2300 11.17 2300 2300 2300 2300
2300 1 2300 1 2300 1 2300
2300 2300 2300 2300 2300 1 1
2300 2300 1 2300 2300 2300 1
2300 2300 1 2300 1 2300 1
2300 2300 1 2300 2300 1 1
2300 2300 1 1 1 1 1
2400 2400 11.23 2400 2400 2400 2400
2400 1 2400 1 2400 1 2400
2400 2400 2400 2400 2400 1 1
2400 2400 1 2400 2400 2400 1
2400 2400 1 2400 1 2400 1
2400 2400 1 2400 2400 1 1
2400 2400 1 1 1 1 1
2500 2500 11.29 2500 2500 2500 2500
2500 1 2500 1 2500 1 2500
2500 2500 2500 2500 2500 1 1
2500 2500 1 2500 2500 2500 1
2500 2500 1 2500 1 2500 1
2500 2500 1 2500 2500 1 1
2500 2500 1 1 1 1 1
2600 2600 11.34 2600 2600 2600 2600
2600 1 2600 1 2600 1 2600
2600 2600 2600 2600 2600 1 1
2600 2600 1 2600 2600 2600 1
2600 2600 1 2600 1 2600 1
2600 2600 1 2600 2600 1 1
2600 2600 1 1 1 1 1
2700 2700 11.40 2700 2700 2700 2700
2700 1 2700 1 2700 1 2700
2700 2700 2700 2700 2700 1 1
2700 2700 1 2700 2700 2700 1
2700 2700 1 2700 1 2700 1
2700 2700 1 2700 2700 1 1
2700 2700 1 1 1 1 1
2800 2800 11.45 2800 2800 2800 2800
2800 1 2800 1 2800 1 2800
2800 2800 2800 2800 2800 1 1
2800 2800 1 2800 2800 2800 1
2800 2800 1 2800 1 2800 1
2800 2800 1 2800 2800 1 1
2800 2800 1 1 1 1 1
2900 2900 11.50 2900 2900 2900 2900
2900 1 2900 1 2900 1 2900
2900 2900 2900 2900 2900 1 1
2900 2900 1 2900 2900 2900 1
2900 2900 1 2900 1 2900 1
2900 2900 1 2900 2900 1 1
2900 2900 1 1 1 1 1
3000 3000 11.55 3000 3000 3000 3000
3000 1 3000 1 3000 1 3000
3000 3000 3000 3000 3000 1 1
3000 3000 1 3000 3000 3000 1
3000 3000 1 3000 1 3000 1
3000 3000 1 3000 3000 1 1
3000 3000 1 1 1 1 1
3100 3100 11.60 3100 3100 3100 3100
3100 1 3100 1 3100 1 3100
3100 3100 3100 3100 3100 1 1
3100 3100 1 3100 3100 3100 1
3100 3100 1 3100 1 3100 1
3100 3100 1 3100 3100 1 1
3100 3100 1 1 1 1 1
3200 3200 11.64 3200 3200 3200 3200
3200 1 3200 1 3200 1 3200
3200 3200 3200 3200 3200 1 1
